elevation_m,slope_deg,annual_rainfall_mm,soil_moisture_index,land_use,geology,distance_to_stream_m,lineament_density_index,groundwater_depth_m,recharge_suitability
394.6,19.1,907,0.48,grassland,weathered_granite,1269,0.65,37.8,44.1
922.6,30.0,2175,0.86,agroforestry,weathered_granite,1277,0.52,16.2,59.5
589.4,18.5,1188,0.75,settlement,fractured_rock,1184,0.9,20.5,59.8
845.8,9.0,2409,0.68,forest,weathered_granite,1258,0.5,15.4,81.0
576.7,11.8,755,0.59,forest,clay,541,0.55,15.3,48.2
1390.8,29.1,1929,0.67,barren,fractured_rock,506,0.1,5.3,59.4
288.0,8.5,543,0.34,grassland,weathered_granite,785,0.77,42.9,40.4
856.2,11.4,1352,0.51,forest,sandstone,625,0.52,39.5,60.9
977.1,14.5,2152,0.76,forest,shale,1404,0.86,4.3,68.5
280.9,3.2,498,0.38,agriculture,clay,656,0.77,27.7,46.6
1209.5,18.8,2240,0.9,agroforestry,sandstone,359,0.69,12.0,77.7
477.8,19.7,888,0.68,agriculture,weathered_granite,697,0.83,33.3,52.2
712.7,11.7,1199,0.41,grassland,weathered_granite,526,0.89,32.3,49.8
586.8,13.2,917,0.49,forest,sandstone,1131,0.76,18.2,54.7
468.1,11.1,794,0.26,forest,shale,1276,0.65,14.2,47.3
888.3,16.9,2988,0.81,grassland,weathered_granite,991,0.87,15.2,67.5
567.7,11.0,904,0.4,grassland,shale,152,0.26,33.7,46.8
857.1,27.7,1422,0.48,forest,weathered_granite,318,0.47,37.9,58.7
535.7,11.4,977,0.47,settlement,sandstone,56,0.87,25.0,58.8
446.9,19.1,890,0.32,settlement,clay,243,0.54,27.2,31.0
1267.7,29.2,2275,0.67,agroforestry,fractured_rock,1230,0.94,19.1,68.3
294.1,8.9,545,0.42,forest,clay,267,0.66,29.1,45.9
428.8,2.8,535,0.17,barren,shale,38,0.86,27.7,36.3
826.2,19.2,1259,0.85,agriculture,fractured_rock,40,0.37,35.1,63.3
295.8,10.9,484,0.17,grassland,clay,526,0.27,40.8,17.5
680.9,10.7,806,0.6,grassland,shale,418,0.19,35.8,43.3
932.0,29.8,1653,0.78,agroforestry,sandstone,895,0.82,3.4,53.3
618.5,19.2,2221,0.91,forest,sandstone,647,0.17,9.4,60.2
435.8,14.8,868,0.55,agroforestry,sandstone,746,0.17,29.3,35.7
635.2,21.4,2148,0.94,forest,shale,1188,0.14,5.7,64.9
617.5,23.9,1232,0.67,agroforestry,weathered_granite,1043,0.74,15.7,55.3
417.2,8.4,901,0.53,agriculture,sandstone,214,0.08,10.9,44.0
772.3,14.0,2280,0.7,forest,sandstone,1333,0.71,13.6,59.4
616.2,21.7,1184,0.87,agriculture,weathered_granite,740,0.65,21.8,57.7
614.5,9.4,863,0.74,agroforestry,sandstone,1429,0.3,10.3,47.6
607.5,28.5,2742,0.92,agroforestry,shale,657,0.76,9.5,66.4
535.4,13.1,1253,0.51,forest,weathered_granite,628,0.91,39.5,67.0
489.5,6.9,1414,0.59,agriculture,sandstone,983,0.25,30.8,48.3
548.1,19.4,960,0.74,agroforestry,shale,331,0.1,24.8,51.8
391.8,8.5,1013,0.34,agroforestry,sandstone,849,0.54,14.2,43.3
507.0,18.1,1258,0.68,agroforestry,shale,812,0.6,22.2,61.1
688.4,25.1,1176,0.35,barren,fractured_rock,1432,0.62,10.1,50.2
1269.2,17.7,2491,0.7,agroforestry,weathered_granite,544,0.82,6.3,78.1
1216.5,19.3,2387,0.63,forest,fractured_rock,828,0.83,12.8,73.1
751.1,25.7,1877,0.69,agriculture,weathered_granite,1341,0.48,17.2,58.0
632.7,21.1,867,0.51,agriculture,sandstone,856,0.71,26.6,46.8
1381.4,13.0,2513,0.83,forest,weathered_granite,1341,0.7,12.7,76.1
268.4,5.2,641,0.42,settlement,weathered_granite,835,0.86,49.6,47.6
524.8,8.2,878,0.62,settlement,clay,610,0.37,9.0,43.1
1221.1,34.2,1768,0.73,forest,fractured_rock,52,0.13,13.6,68.1
509.7,21.4,962,0.8,agroforestry,fractured_rock,1264,0.22,28.1,48.1
780.4,33.1,1950,0.74,agriculture,sandstone,1130,0.07,3.7,55.7
416.1,5.1,604,0.35,barren,weathered_granite,1400,0.52,38.7,34.1
605.4,21.9,2024,0.88,grassland,weathered_granite,230,0.68,16.5,73.5
628.5,17.8,808,0.47,agroforestry,shale,1018,0.62,20.3,53.1
649.8,15.5,861,0.41,agriculture,sandstone,908,0.5,30.4,42.2
568.4,12.5,1177,0.7,forest,fractured_rock,1328,0.85,14.8,64.1
355.4,6.1,582,0.4,barren,clay,840,0.31,41.4,27.1
615.0,18.7,850,0.56,agroforestry,clay,734,0.79,24.1,50.4
385.8,8.5,532,0.17,settlement,clay,128,0.29,32.2,31.7
332.5,7.9,709,0.47,agroforestry,fractured_rock,1247,0.93,25.6,52.8
841.8,17.8,1142,0.45,forest,weathered_granite,866,0.84,9.3,64.3
260.1,9.1,526,0.3,barren,sandstone,1331,0.23,21.9,40.7
589.0,20.8,710,0.31,settlement,sandstone,533,0.37,25.1,35.2
268.7,2.7,645,0.4,settlement,fractured_rock,1228,0.33,25.1,39.1
747.3,5.9,1125,0.63,forest,shale,614,0.08,17.5,61.4
308.4,5.0,736,0.57,settlement,shale,637,0.85,25.4,53.2
647.7,6.4,1013,0.69,settlement,weathered_granite,152,0.83,12.3,60.5
946.4,29.9,2576,0.82,agriculture,weathered_granite,1087,0.58,11.3,67.6
416.8,16.9,842,0.6,agriculture,sandstone,524,0.92,29.0,54.6
609.9,32.0,2288,0.88,agroforestry,fractured_rock,399,0.5,16.2,75.4
452.5,8.2,994,0.66,forest,shale,900,0.09,27.0,51.1
384.8,9.9,489,0.37,agroforestry,clay,766,0.38,20.9,46.4
508.1,8.8,933,0.36,agriculture,weathered_granite,1384,0.45,23.4,43.8
273.9,6.8,425,0.19,barren,sandstone,298,0.53,27.0,40.2
1042.6,16.0,2554,0.69,grassland,weathered_granite,550,0.35,14.4,70.3
601.8,14.6,928,0.38,agriculture,sandstone,707,0.24,14.4,35.7
637.5,12.2,1242,0.41,settlement,sandstone,555,0.8,27.5,62.1
758.3,9.8,2032,0.93,agroforestry,clay,63,0.39,14.6,75.3
431.4,6.7,892,0.54,settlement,sandstone,315,0.65,23.5,50.2
661.3,13.0,781,0.5,agriculture,clay,121,0.72,26.7,52.1
644.4,16.2,1043,0.28,settlement,shale,718,0.54,15.2,35.4
808.3,17.1,2324,0.71,forest,shale,728,0.44,8.1,64.4
498.7,6.1,887,0.72,agriculture,weathered_granite,401,0.24,28.7,54.6
374.6,8.7,799,0.32,barren,fractured_rock,1028,0.86,19.7,39.6
1098.8,20.0,2506,0.79,forest,clay,427,0.14,9.1,59.4
521.9,17.7,1047,0.44,forest,sandstone,959,0.05,31.5,41.1
483.4,11.1,836,0.69,barren,sandstone,1034,0.45,9.9,51.2
336.5,13.9,786,0.69,agroforestry,weathered_granite,928,0.11,36.9,41.1
690.8,18.8,2215,0.92,forest,weathered_granite,531,0.09,11.7,70.8
440.2,17.7,852,0.66,agroforestry,weathered_granite,133,0.21,21.2,53.3
451.0,17.6,736,0.53,agriculture,sandstone,332,0.58,8.3,49.5
850.3,17.5,1687,0.84,forest,weathered_granite,1224,0.27,18.3,81.5
492.1,12.4,1211,0.83,agriculture,weathered_granite,70,0.1,23.4,62.7
389.9,17.0,878,0.69,agriculture,shale,1109,0.81,11.3,46.6
1098.4,12.3,2540,0.65,agriculture,sandstone,1135,0.58,9.4,62.4
479.0,7.6,1036,0.63,grassland,weathered_granite,1403,0.65,31.7,51.6
338.0,13.3,752,0.6,agriculture,clay,547,0.85,29.7,47.7
796.9,25.2,1207,0.55,agriculture,fractured_rock,1324,0.85,7.1,61.9
305.5,18.3,885,0.3,forest,clay,389,0.67,24.4,48.0
597.0,21.9,1002,0.56,agriculture,sandstone,1372,0.38,26.1,41.1
588.1,12.8,1061,0.48,agriculture,weathered_granite,880,0.23,18.8,58.2
811.5,21.8,1233,0.5,grassland,sandstone,637,0.41,8.7,46.5
378.5,9.6,405,0.37,barren,clay,219,0.51,26.1,38.5
421.0,5.2,496,0.26,barren,shale,970,0.09,29.6,34.3
424.7,4.1,963,0.27,forest,fractured_rock,1294,0.85,34.4,58.8
383.1,16.4,1210,0.54,agriculture,clay,940,0.68,28.7,49.2
824.0,17.4,1056,0.78,agroforestry,shale,212,0.18,36.0,46.1
292.2,9.0,667,0.32,barren,clay,1398,0.89,40.8,26.2
255.5,5.8,459,0.43,settlement,shale,159,0.37,35.3,41.3
996.2,15.2,2597,0.89,forest,weathered_granite,753,0.25,5.2,81.8
761.0,27.3,1110,0.88,agriculture,fractured_rock,135,0.76,35.0,60.6
411.0,9.8,709,0.34,grassland,fractured_rock,1039,0.68,17.6,45.2
1170.4,14.5,1947,0.79,agriculture,fractured_rock,36,0.45,19.5,70.6
872.0,12.7,1910,0.87,forest,fractured_rock,434,0.47,16.1,65.4
512.7,5.6,805,0.46,settlement,fractured_rock,210,0.74,9.3,55.1
600.1,14.6,1813,0.76,agriculture,weathered_granite,1245,0.3,17.0,62.3
650.7,10.1,846,0.48,forest,sandstone,1131,0.35,37.1,42.1
745.0,18.4,1817,0.91,barren,sandstone,1262,0.57,11.1,68.7
441.2,8.6,920,0.28,barren,shale,1111,0.4,27.7,36.9
841.1,25.8,991,0.77,forest,sandstone,1463,0.6,32.1,53.4
686.4,9.4,1226,0.49,forest,weathered_granite,904,0.28,9.9,58.0
738.0,4.1,1084,0.78,agriculture,shale,500,0.63,12.7,54.0
734.2,12.2,1841,0.67,agroforestry,weathered_granite,274,0.79,7.4,76.5
351.6,2.1,691,0.11,agriculture,shale,168,0.23,38.1,30.7
1123.5,22.1,2488,0.92,forest,weathered_granite,316,0.73,7.1,77.0
731.7,27.1,2614,0.65,forest,sandstone,485,0.87,7.6,67.9
721.4,25.9,2690,0.89,forest,fractured_rock,980,0.93,8.0,72.2
463.4,6.6,1048,0.36,agriculture,weathered_granite,539,0.39,11.3,58.7
624.1,20.2,2053,0.78,forest,fractured_rock,957,0.37,8.5,68.5
639.9,23.0,1321,0.61,forest,fractured_rock,1384,0.15,31.5,57.9
812.1,8.2,2174,0.75,forest,fractured_rock,89,0.21,4.8,85.4
674.7,18.4,953,0.48,agroforestry,clay,450,0.84,31.9,45.3
695.6,19.3,872,0.59,agroforestry,shale,1213,0.41,25.9,40.2
868.4,26.9,2030,0.88,grassland,fractured_rock,381,0.37,4.0,66.2
401.5,3.4,566,0.33,settlement,weathered_granite,446,0.66,23.0,48.6
643.6,4.7,844,0.5,grassland,sandstone,772,0.17,20.6,47.6
306.8,7.9,986,0.5,agriculture,weathered_granite,1430,0.26,37.7,50.5
298.7,9.0,423,0.25,agriculture,shale,1391,0.36,45.0,30.3
1024.1,32.6,2021,0.79,agroforestry,clay,496,0.73,14.6,65.6
552.3,20.8,665,0.63,agroforestry,clay,108,0.79,34.2,41.7
1396.1,23.2,1803,0.7,grassland,weathered_granite,132,0.07,15.4,64.9
651.7,25.6,2101,0.74,forest,weathered_granite,26,0.44,14.1,63.0
848.4,22.3,2342,0.67,agroforestry,weathered_granite,614,0.58,6.7,73.7
1085.1,24.3,2341,0.61,grassland,clay,1102,0.55,6.9,52.9
540.5,24.6,1317,0.5,agriculture,fractured_rock,842,0.2,8.9,61.8
432.7,8.1,1312,0.31,barren,sandstone,500,0.77,15.2,58.0
309.6,14.4,665,0.37,agroforestry,clay,82,0.11,30.4,43.9
301.5,7.5,690,0.18,barren,weathered_granite,395,0.66,34.5,36.4
1065.3,17.2,2412,0.93,agroforestry,weathered_granite,393,0.82,15.1,82.9
303.8,4.2,456,0.25,forest,clay,190,0.64,29.5,45.7
1018.6,17.2,2276,0.73,agroforestry,weathered_granite,1229,0.53,7.2,71.6
706.1,23.1,1979,0.78,forest,weathered_granite,655,0.17,12.4,69.7
439.6,8.9,615,0.17,settlement,clay,173,0.36,41.0,30.9
529.0,12.3,709,0.64,agriculture,sandstone,1371,0.11,15.5,35.1
1151.7,31.4,1996,0.68,forest,shale,185,0.78,19.3,75.0
617.7,17.2,1222,0.63,agriculture,weathered_granite,783,0.91,8.7,62.7
465.7,8.1,1102,0.67,settlement,weathered_granite,169,0.21,29.0,62.2
1073.2,10.4,2597,0.77,forest,clay,491,0.19,5.6,61.6
274.5,10.5,579,0.36,settlement,shale,966,0.73,40.7,31.6
381.9,18.5,1204,0.61,agriculture,weathered_granite,1146,0.31,19.1,51.0
299.7,8.6,615,0.35,agriculture,clay,147,0.12,20.4,41.6
1177.4,33.9,2509,0.93,agroforestry,sandstone,301,0.39,16.5,72.8
301.5,3.5,616,0.37,barren,sandstone,722,0.49,44.0,38.9
769.3,23.7,1190,0.41,forest,sandstone,299,0.15,35.9,44.0
1000.9,23.5,1930,0.63,grassland,weathered_granite,433,0.9,7.2,67.3
616.8,23.5,2211,0.83,forest,weathered_granite,327,0.14,11.8,73.5
516.5,11.7,1443,0.32,grassland,fractured_rock,364,0.79,34.9,62.0
755.6,14.8,1225,0.75,forest,clay,1473,0.66,21.9,50.8
789.5,15.3,2430,0.81,forest,weathered_granite,28,0.55,9.2,84.7
468.8,13.6,752,0.58,forest,weathered_granite,1273,0.81,11.0,55.6
777.3,12.9,2526,0.62,forest,sandstone,348,0.89,18.1,85.8
589.9,26.4,1180,0.69,barren,fractured_rock,829,0.27,25.1,43.8
1090.7,19.5,2492,0.87,forest,fractured_rock,188,0.14,17.2,68.9
452.9,21.4,1104,0.45,agriculture,weathered_granite,1216,0.26,15.0,36.7
429.6,15.5,1057,0.62,agriculture,shale,1095,0.29,28.0,48.2
447.1,19.3,1201,0.56,grassland,fractured_rock,947,0.12,23.9,53.5
1009.0,15.7,2607,0.71,agriculture,clay,413,0.6,6.0,67.7
831.3,24.1,1313,0.58,grassland,clay,861,0.16,5.4,46.6
761.4,26.2,2703,0.76,forest,weathered_granite,1363,0.34,12.1,60.9
354.0,6.6,462,0.36,grassland,clay,560,0.1,30.7,30.9
328.0,11.4,602,0.2,barren,clay,207,0.11,28.5,35.3
288.3,11.3,420,0.36,barren,clay,1187,0.74,45.8,34.9
1160.0,20.5,1906,0.78,forest,fractured_rock,772,0.3,13.1,64.8
823.6,14.3,1267,0.38,agroforestry,shale,631,0.74,27.3,54.9
327.3,18.3,1044,0.78,agriculture,weathered_granite,662,0.91,30.2,56.0
426.6,10.7,1309,0.7,forest,fractured_rock,1291,0.6,18.9,62.6
401.9,15.5,951,0.42,agriculture,clay,461,0.55,15.4,39.0
354.5,2.4,409,0.39,barren,shale,47,0.68,32.7,49.2
467.4,17.2,1056,0.28,grassland,weathered_granite,1092,0.23,24.6,46.2
668.5,17.3,1349,0.33,barren,fractured_rock,621,0.37,34.0,48.8
901.8,33.7,2580,0.64,agroforestry,weathered_granite,1030,0.65,17.4,71.4
473.4,6.2,1081,0.53,agriculture,sandstone,948,0.91,18.5,55.2
742.3,26.6,2361,0.74,forest,fractured_rock,598,0.93,16.2,79.8
729.8,27.3,1267,0.58,agriculture,shale,279,0.39,35.3,58.4
657.8,17.0,853,0.63,agriculture,sandstone,1238,0.69,32.9,46.0
623.8,15.0,886,0.44,agriculture,fractured_rock,1153,0.61,30.6,47.0
603.3,24.2,2572,0.68,agriculture,fractured_rock,709,0.9,8.8,72.8
356.0,14.7,1219,0.35,settlement,fractured_rock,528,0.62,9.4,60.1
641.9,8.5,1013,0.56,agroforestry,clay,354,0.5,20.0,54.7
618.3,5.5,824,0.68,agroforestry,clay,362,0.58,18.7,46.8
1177.0,16.9,2497,0.82,forest,sandstone,386,0.3,18.1,72.7
459.6,21.8,952,0.62,forest,fractured_rock,875,0.53,26.2,50.8
454.6,8.4,1008,0.45,forest,weathered_granite,1485,0.46,18.8,61.6
1112.1,18.6,1746,0.68,agroforestry,shale,959,0.93,9.4,59.1
570.0,9.2,1035,0.26,forest,sandstone,1251,0.32,19.4,49.8
721.7,24.0,992,0.25,agriculture,fractured_rock,801,0.59,26.9,44.7
677.2,23.6,986,0.88,agroforestry,sandstone,745,0.6,27.3,49.5
798.1,20.2,1238,0.44,agriculture,fractured_rock,1476,0.74,31.6,56.4
738.0,24.9,2653,0.81,forest,sandstone,190,0.18,6.7,58.4
502.3,13.8,1182,0.57,agriculture,clay,252,0.56,28.9,51.8
256.6,5.1,597,0.17,barren,fractured_rock,1065,0.69,33.5,40.1
320.5,2.4,638,0.26,barren,clay,1399,0.74,32.6,48.5
534.8,4.6,967,0.85,agriculture,fractured_rock,1196,0.86,26.9,65.7
775.0,19.7,1350,0.53,agroforestry,shale,856,0.13,14.8,52.7
360.9,4.6,1072,0.33,agroforestry,weathered_granite,783,0.42,25.5,60.1
865.4,22.5,2126,0.72,forest,shale,664,0.59,5.1,67.3
446.9,21.5,692,0.34,grassland,shale,1435,0.15,27.1,27.9
726.0,23.6,954,0.79,forest,shale,1188,0.84,11.7,46.9
657.4,20.2,2234,0.94,forest,clay,894,0.07,8.8,60.7
940.8,24.4,2597,0.68,agroforestry,weathered_granite,578,0.53,10.1,63.2
469.2,16.1,827,0.72,agriculture,sandstone,807,0.57,14.9,51.1
835.4,16.6,2328,0.64,grassland,fractured_rock,672,0.45,12.3,73.0
665.8,18.0,953,0.77,agriculture,shale,350,0.65,15.8,51.0
1248.8,28.5,2164,0.91,agriculture,weathered_granite,907,0.56,7.0,61.6
634.6,33.0,2333,0.81,forest,weathered_granite,550,0.66,3.9,71.7
386.8,19.0,993,0.37,grassland,clay,1154,0.81,17.4,32.8
710.5,27.5,1075,0.37,agroforestry,fractured_rock,253,0.18,27.0,45.8
462.9,11.1,892,0.29,agriculture,fractured_rock,81,0.89,18.8,67.5
296.5,8.7,603,0.22,grassland,shale,1236,0.9,48.0,38.8
260.8,4.9,622,0.45,barren,clay,1478,0.18,40.8,22.5
530.4,14.4,921,0.66,agroforestry,weathered_granite,572,0.71,10.9,65.6
286.3,7.0,672,0.23,grassland,fractured_rock,280,0.61,41.3,51.8
753.5,8.2,1001,0.53,settlement,fractured_rock,409,0.6,12.5,55.3
567.6,3.9,924,0.42,agriculture,fractured_rock,1372,0.38,26.7,61.9
343.2,5.9,599,0.2,barren,clay,582,0.11,27.7,31.9
828.0,15.6,2747,0.95,forest,fractured_rock,1206,0.91,12.3,77.3
629.3,18.0,1060,0.33,grassland,fractured_rock,888,0.2,25.1,46.2
858.1,24.8,1144,0.74,agroforestry,shale,1298,0.67,38.2,45.1
562.8,13.0,715,0.58,forest,weathered_granite,269,0.16,10.2,48.7
1060.4,10.2,2695,0.85,settlement,weathered_granite,574,0.65,8.3,67.0
359.8,9.1,419,0.33,barren,clay,1411,0.16,40.4,26.0
498.0,4.0,759,0.72,agriculture,weathered_granite,818,0.71,18.1,56.1
463.7,3.1,882,0.28,grassland,weathered_granite,1399,0.24,23.1,39.9
875.5,10.4,1929,0.74,agroforestry,fractured_rock,1246,0.8,9.6,78.3
430.6,9.8,771,0.57,agriculture,sandstone,1425,0.55,27.5,44.6
434.3,12.5,930,0.39,agroforestry,clay,29,0.34,26.3,49.2
699.1,15.7,968,0.38,grassland,clay,1239,0.28,15.6,35.2
461.6,23.4,1142,0.42,agriculture,weathered_granite,430,0.38,21.5,52.4
1237.0,20.5,2217,0.62,forest,fractured_rock,1398,0.66,5.0,73.8
393.6,11.8,520,0.23,grassland,shale,1313,0.68,40.2,37.9
492.6,8.7,1060,0.78,forest,sandstone,578,0.41,27.5,56.9
538.8,16.4,901,0.25,agriculture,sandstone,390,0.1,13.2,42.2
914.1,27.9,2654,0.9,forest,weathered_granite,1372,0.38,7.5,66.7
764.7,16.2,1252,0.8,forest,fractured_rock,1472,0.81,16.6,58.4
459.6,7.8,1086,0.67,forest,shale,130,0.36,12.3,62.8
407.6,9.9,465,0.34,barren,clay,1348,0.44,47.6,26.9
359.8,8.6,482,0.13,settlement,weathered_granite,101,0.29,35.7,35.1
699.3,21.6,2143,0.71,agroforestry,clay,1272,0.57,18.0,55.1
419.9,6.5,632,0.14,barren,clay,210,0.76,31.2,33.1
588.4,7.0,730,0.64,forest,shale,1190,0.49,36.9,41.0
418.6,5.9,812,0.46,agroforestry,sandstone,1411,0.78,21.0,49.3
796.2,21.1,1388,0.26,forest,shale,344,0.67,24.2,51.7
355.0,6.3,1018,0.33,grassland,fractured_rock,68,0.16,9.9,52.7
618.0,6.2,1073,0.46,grassland,sandstone,1344,0.46,29.7,52.6
887.9,22.0,1940,0.66,agroforestry,fractured_rock,900,0.43,7.2,81.4
827.3,15.8,2757,0.83,agroforestry,fractured_rock,493,0.64,5.6,80.2
624.0,21.4,1191,0.51,agroforestry,sandstone,1303,0.64,16.2,54.9
606.2,29.7,2474,0.79,forest,fractured_rock,1069,0.33,3.2,66.4
756.7,17.0,2094,0.81,agriculture,weathered_granite,1360,0.92,5.3,77.0
608.4,15.6,1026,0.74,agroforestry,clay,1004,0.49,15.6,47.4
485.2,19.8,999,0.69,agriculture,shale,357,0.68,21.1,52.8
373.6,11.4,1312,0.56,agriculture,weathered_granite,196,0.94,28.0,71.4
460.1,13.4,945,0.45,agriculture,shale,46,0.44,18.4,45.7
441.5,5.9,1060,0.52,forest,weathered_granite,751,0.5,20.3,56.0
495.4,14.4,1013,0.62,forest,weathered_granite,83,0.46,12.9,60.6
807.0,29.0,1788,0.83,agroforestry,fractured_rock,413,0.87,7.7,76.5
396.4,8.4,667,0.42,agroforestry,clay,1000,0.46,29.9,31.2
797.1,22.2,968,0.61,agriculture,clay,1464,0.92,36.6,37.7
920.5,32.4,1829,0.95,forest,weathered_granite,1047,0.33,8.0,66.1
456.3,6.8,977,0.33,agriculture,clay,462,0.61,26.0,51.0
755.5,31.7,2566,0.86,forest,fractured_rock,1101,0.18,19.2,58.7
1025.4,34.7,1796,0.8,grassland,sandstone,1317,0.48,12.6,57.2
844.4,9.2,1191,0.86,agriculture,fractured_rock,900,0.67,10.1,62.8
932.0,8.1,2419,0.67,agroforestry,fractured_rock,245,0.63,6.0,89.4
409.4,5.6,883,0.65,agriculture,shale,352,0.52,26.0,49.1
628.4,17.5,2788,0.74,agroforestry,fractured_rock,1315,0.88,10.9,73.0
381.5,9.2,671,0.13,settlement,sandstone,91,0.89,33.6,52.8
389.7,3.9,637,0.37,forest,clay,979,0.39,40.2,38.9
777.6,25.9,1007,0.84,forest,fractured_rock,253,0.65,16.7,68.0
808.3,4.6,1127,0.32,agroforestry,weathered_granite,687,0.14,9.0,48.0
979.2,9.7,2985,0.82,settlement,fractured_rock,1209,0.7,16.0,75.9
1040.0,31.8,1771,0.65,forest,clay,1168,0.26,10.0,49.6
549.8,8.3,745,0.26,agriculture,clay,1036,0.67,26.2,32.1
590.9,14.6,1049,0.51,settlement,weathered_granite,72,0.12,10.8,48.2
650.7,14.2,1355,0.43,forest,weathered_granite,38,0.58,11.5,66.8
654.8,22.9,1221,0.62,agriculture,weathered_granite,1275,0.62,26.6,51.1
608.1,16.5,943,0.42,grassland,sandstone,1174,0.22,26.3,44.7
536.3,4.6,762,0.7,agriculture,shale,402,0.06,23.0,41.6
431.8,17.9,1059,0.71,agroforestry,fractured_rock,82,0.56,33.6,64.6
647.0,3.7,1024,0.42,agriculture,sandstone,437,0.15,22.1,57.1
1124.9,20.1,2013,0.78,forest,fractured_rock,1499,0.79,15.2,68.3
704.9,22.7,1813,0.87,agroforestry,fractured_rock,1133,0.45,17.5,65.0
314.4,7.5,1303,0.68,forest,fractured_rock,729,0.7,23.0,76.0
355.9,7.7,520,0.44,settlement,sandstone,1175,0.56,26.9,33.4
406.5,19.1,1265,0.79,settlement,shale,418,0.4,30.4,52.7
648.6,7.6,912,0.39,agriculture,fractured_rock,992,0.7,16.0,47.3
624.2,10.8,1157,0.5,grassland,shale,638,0.65,15.3,51.2
543.4,14.9,1021,0.45,agroforestry,weathered_granite,1268,0.67,33.5,52.8
554.7,6.9,1265,0.38,forest,weathered_granite,1276,0.14,26.3,57.8
582.9,10.1,749,0.4,forest,clay,140,0.48,27.0,58.1
753.9,16.8,1328,0.72,agriculture,weathered_granite,372,0.62,14.7,73.2
850.1,25.9,2159,0.71,forest,weathered_granite,675,0.22,19.5,57.2
415.2,21.7,813,0.69,barren,clay,1002,0.5,15.2,29.2
348.4,11.8,574,0.41,barren,clay,946,0.44,45.2,29.0
374.4,6.4,387,0.26,agriculture,clay,222,0.67,25.8,45.9
847.5,8.2,1442,0.39,agriculture,shale,1439,0.82,14.1,56.5
772.2,10.6,1405,0.52,grassland,shale,590,0.23,13.8,58.1
406.9,4.2,525,0.27,barren,shale,1361,0.53,29.8,29.5
674.7,5.5,806,0.27,grassland,shale,593,0.39,11.6,42.6
911.6,14.9,2255,0.92,forest,weathered_granite,1220,0.46,12.7,78.5
581.0,16.9,1044,0.35,agriculture,sandstone,659,0.06,5.7,44.6
643.0,4.3,755,0.69,agriculture,sandstone,864,0.22,9.8,48.8
558.8,15.1,854,0.55,forest,shale,1204,0.64,13.1,51.0
466.2,20.9,1101,0.65,agriculture,sandstone,1463,0.89,22.8,49.8
540.3,6.8,1112,0.64,forest,fractured_rock,67,0.29,20.6,64.4
858.7,29.9,2579,0.82,forest,fractured_rock,1014,0.39,6.5,60.8
997.3,28.9,2494,0.8,agroforestry,sandstone,745,0.27,10.4,54.8
881.4,28.5,2234,0.84,forest,clay,498,0.26,9.4,61.0
523.6,24.9,1331,0.32,grassland,weathered_granite,911,0.08,23.0,42.3
689.8,11.5,2881,0.65,forest,sandstone,832,0.39,18.0,82.0
448.6,3.5,1084,0.41,forest,weathered_granite,222,0.09,11.1,67.8
1017.0,25.3,2932,0.72,forest,clay,677,0.44,15.7,62.7
1350.6,34.4,2478,0.7,grassland,fractured_rock,829,0.5,19.0,52.1
595.6,16.8,719,0.59,forest,shale,369,0.51,20.7,47.0
340.7,8.0,408,0.2,barren,sandstone,1481,0.77,31.5,44.1
768.2,24.5,2061,0.76,agroforestry,fractured_rock,676,0.47,4.8,66.5
613.2,19.0,1184,0.44,forest,weathered_granite,1278,0.84,7.3,76.3
472.9,13.7,778,0.73,agriculture,sandstone,1426,0.12,25.2,39.9
455.3,11.7,1010,0.62,forest,weathered_granite,1233,0.57,24.3,48.0
734.2,12.6,1378,0.71,agriculture,weathered_granite,451,0.67,38.7,62.3
581.1,8.7,918,0.66,settlement,shale,141,0.05,35.5,48.2
482.9,15.3,748,0.27,grassland,sandstone,744,0.36,28.8,31.7
907.5,25.1,2691,0.92,forest,weathered_granite,29,0.39,12.8,71.7
321.6,10.5,1016,0.51,agriculture,fractured_rock,1392,0.2,13.9,52.3
369.2,8.8,495,0.31,agriculture,weathered_granite,1090,0.86,20.7,39.3
381.0,2.8,471,0.28,barren,weathered_granite,618,0.06,40.3,30.3
446.4,7.0,1315,0.59,agroforestry,fractured_rock,767,0.89,26.3,69.4
579.2,20.4,751,0.68,forest,clay,1382,0.44,23.0,41.6
739.1,13.8,1652,0.72,agroforestry,weathered_granite,286,0.69,18.9,79.8
448.0,12.9,1257,0.46,settlement,weathered_granite,606,0.77,8.4,60.4
412.2,11.4,850,0.3,settlement,clay,202,0.88,30.5,36.9
281.9,10.8,564,0.34,barren,sandstone,692,0.8,22.9,40.9
516.7,8.1,1057,0.56,agriculture,clay,1183,0.42,37.5,47.8
501.9,8.5,1129,0.36,settlement,sandstone,245,0.33,5.3,52.0
307.0,6.7,867,0.48,forest,sandstone,586,0.72,8.2,57.5
940.6,8.7,2319,0.82,forest,fractured_rock,1365,0.31,11.7,74.1
1275.7,31.8,2189,0.87,forest,fractured_rock,329,0.55,14.2,72.9
575.7,15.4,965,0.56,agriculture,fractured_rock,65,0.28,11.9,58.9
433.3,7.6,482,0.35,settlement,clay,1118,0.83,26.2,35.6
629.9,11.3,1996,0.87,forest,clay,989,0.9,14.2,66.3
